numero_sequencial;descricao_cargo;nome_urna;descricao_cor_raca;descricao_estado_civil;descricao_genero;descricao_grau_instrucao;sigla_uf_nascimento;nome_partido;sigla_partido;patrimonio;total_votos_brasil
10000608364;DEPUTADO ESTADUAL;TEMYLLIS SILVA;PARDA;SOLTEIRO(A);FEMININO;SUPERIOR INCOMPLETO;AC;PARTIDO DOS TRABALHADORES;PT;0;1549
10000610667;DEPUTADO ESTADUAL;LUCILA;PARDA;CASADO(A);FEMININO;SUPERIOR COMPLETO;SC;PROGRESSISTAS;PP;1205000;2725
10000602320;DEPUTADO ESTADUAL;SOCORRINHA;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO INCOMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;0;62
10000600226;DEPUTADO ESTADUAL;SUBTENENTE CANDEIAS;PARDA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;0;145
10000607177;DEPUTADO ESTADUAL;CRISTIANO BORGES;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;AC;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;3000;83
10000604770;DEPUTADO ESTADUAL;NATALINO PAULO;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO SOCIALISTA BRASILEIRO;PSB;156923;581
10000607169;DEPUTADO ESTADUAL;EDI CELULAR;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;DEMOCRACIA CRISTA;DC;0;731
10000603913;DEPUTADO ESTADUAL;ARNALDO BARROS;BRANCA;CASADO(A);MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;AC;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;4000;1551
10000602518;DEPUTADO FEDERAL;JUNIOR SANTIAGO;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO TRABALHISTA CRISTAO;PTC;200000;3293
10000624290;DEPUTADO ESTADUAL;LUZIVALDO FOTOGRAFO;PARDA;DIVORCIADO(A);MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;AC;DEMOCRATAS;DEM;0;237
10000624274;DEPUTADO ESTADUAL;AUDER QUASE TUDO;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;192500;353
10000610650;DEPUTADO ESTADUAL;PROFESSOR PAULO JOSE;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PROGRESSISTAS;PP;143000;166
10000610641;DEPUTADO ESTADUAL;CLEIDSON ROCHA;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;205000;0
10000615606;DEPUTADO ESTADUAL;NIL FIGUEIREDO;PRETA;DIVORCIADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DOS TRABALHADORES;PT;612000;2161
10000610634;DEPUTADO ESTADUAL;ANTONIA SALES;PARDA;CASADO(A);FEMININO;SUPERIOR COMPLETO;AC;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;912870;9139
10000608367;DEPUTADO ESTADUAL;JAMES FELIX;PARDA;DIVORCIADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DOS TRABALHADORES;PT;5000;70
10000600842;DEPUTADO FEDERAL;FRANCISCO PIYAKO;INDIGENA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO SOCIALISMO E LIBERDADE;PSOL;630000;2681
10000624630;DEPUTADO FEDERAL;PROFESSORA MARIA PEREGRINA;PARDA;CASADO(A);FEMININO;SUPERIOR COMPLETO;AC;AVANTE;AVANTE;70000;67
10000610659;DEPUTADO ESTADUAL;NICOLAU JUNIOR;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PROGRESSISTAS;PP;0;7509
10000600125;DEPUTADO ESTADUAL;LAERCIO DA FARMACIA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO SOCIALISMO E LIBERDADE;PSOL;0;1429
10000610691;DEPUTADO ESTADUAL;PAULAO;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO POPULAR SOCIALISTA;PPS;50000;389
10000602302;DEPUTADO ESTADUAL;ARLENILSON CUNHA;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;68000;2252
10000608408;DEPUTADO FEDERAL;FELIPE MESSIAS;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;DEMOCRACIA CRISTA;DC;0;71
10000602305;DEPUTADO FEDERAL;SANDRO REGO;PRETA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;0;689
10000602517;DEPUTADO FEDERAL;JUNIOR PARIS DAKAR;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PROGRESSISTAS;PP;1298000;4762
10000600127;DEPUTADO ESTADUAL;DENNYS;BRANCA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO SOCIALISMO E LIBERDADE;PSOL;0;82
10000602312;DEPUTADO FEDERAL;RAIMUNDO CASTRO;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;0;71
10000610660;DEPUTADO ESTADUAL;TEREZINHA MOREIRA;BRANCA;VIUVO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PROGRESSISTAS;PP;116940,57;2473
10000610676;DEPUTADO ESTADUAL;NAYRA NUNES;BRANCA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PROGRESSISTAS;PP;0;18
10000602316;DEPUTADO ESTADUAL;NICACIO DIREITOS HUMANOS;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;445000;401
10000602318;DEPUTADO FEDERAL;JOSE ADRIANO;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;4465500;6858
10000602321;DEPUTADO ESTADUAL;RAFAEL ALMEIDA;PRETA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;436000;0
10000600137;DEPUTADO ESTADUAL;ALONSO ANDRADE;PARDA;CASADO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO VERDE;PV;700000;1615
10000624285;DEPUTADO ESTADUAL;CARLOS FERNANDES;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;0;37
10000602295;DEPUTADO FEDERAL;DINEIA PINHEIRO;PRETA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;70000;130
10000602294;DEPUTADO ESTADUAL;SARA OLIVEIRA;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;40000;35
10000600246;DEPUTADO FEDERAL;JAMYL ASFURY;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;PI;PARTIDO SOCIAL CRISTAO;PSC;715528,38;5149
10000600773;DEPUTADO ESTADUAL;MARCELA COSTA;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;0;33
10000607182;DEPUTADO ESTADUAL;ROGERIO SANTOS;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;3000;62
10000602300;DEPUTADO FEDERAL;CABRAL;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AM;PARTIDO DEMOCRATICO TRABALHISTA;PDT;0;121
10000600197;DEPUTADO ESTADUAL;TARLEN JUNIO;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;0;50
10000624638;DEPUTADO FEDERAL;ELDO PONTES;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;AVANTE;AVANTE;15000;36
10000604789;DEPUTADO ESTADUAL;PAULINO CARUTA;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO SOCIALISTA BRASILEIRO;PSB;0;622
10000600845;DEPUTADO FEDERAL;MERLA;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO SOCIALISMO E LIBERDADE;PSOL;170000;1498
10000602851;DEPUTADO ESTADUAL;PASTORA NAGELA BARDALLES;PARDA;SEPARADO(A) JUDICIALMENTE;FEMININO;SUPERIOR COMPLETO;AC;SOLIDARIEDADE;SOLIDARIEDADE;0;73
10000600215;VICE-GOVERNADOR;RESSINI JARUDE;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;0;0
10000601046;DEPUTADO ESTADUAL;VITORIA RIBEIRO;PARDA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO TRABALHISTA BRASILEIRO;PTB;0;22
10000610656;DEPUTADO ESTADUAL;SEBASTIAO CRUZ;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PROGRESSISTAS;PP;0;53
10000624315;DEPUTADO ESTADUAL;SGT CADMIEL BOMFIM;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;0;3637
10000624287;DEPUTADO ESTADUAL;CELIO GADELHA;PARDA;CASADO(A);MASCULINO;SUPERIOR INCOMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;19687,8;2963
10000624310;DEPUTADO ESTADUAL;SILVIA ALMEIDA;BRANCA;DIVORCIADO(A);FEMININO;SUPERIOR COMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;365000;11
10000610665;DEPUTADO ESTADUAL;THESCO;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PROGRESSISTAS;PP;0;0
10000600144;DEPUTADO ESTADUAL;ISMAEL MUNIZ;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;PA;PARTIDO REPUBLICANO PROGRESSISTA;PRP;0;1932
10000602281;DEPUTADO ESTADUAL;TCHE;BRANCA;CASADO(A);MASCULINO;SUPERIOR INCOMPLETO;RS;PARTIDO DEMOCRATICO TRABALHISTA;PDT;0;3429
10000602852;DEPUTADO ESTADUAL;PR. JEAN MAANAIM;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO INCOMPLETO;RO;SOLIDARIEDADE;SOLIDARIEDADE;0;217
10000624272;DEPUTADO ESTADUAL;CARLINHOS PORTELA;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;75000;1003
10000600201;DEPUTADO ESTADUAL;ADIR GAUCHO;BRANCA;CASADO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SC;PARTIDO SOCIAL LIBERAL;PSL;0;150
10000607172;DEPUTADO ESTADUAL;JOAO DA ONCA;PARDA;CASADO(A);MASCULINO;LE E ESCREVE;AC;DEMOCRACIA CRISTA;DC;0;0
10000624311;DEPUTADO ESTADUAL;CABIDE;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO INCOMPLETO;AC;DEMOCRATAS;DEM;0;65
10000629464;DEPUTADO ESTADUAL;GIGLIANE;BRANCA;SOLTEIRO(A);FEMININO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;0;98
10000604776;DEPUTADO ESTADUAL;DAVILENE ANAISSI;PARDA;CASADO(A);FEMININO;SUPERIOR COMPLETO;AC;PARTIDO SOCIALISTA BRASILEIRO;PSB;0;163
10000600843;DEPUTADO FEDERAL;CHARQUEIRO DO ACRE;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO SOCIALISMO E LIBERDADE;PSOL;50000;492
10000608409;DEPUTADO FEDERAL;FRANCISCO RIBEIRO;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;DEMOCRACIA CRISTA;DC;0;253
10000600121;DEPUTADO ESTADUAL;SAMYRON DOS COBRAS DANCE;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO SOCIALISMO E LIBERDADE;PSOL;0;375
10000600850;DEPUTADO FEDERAL;RAILSON CORREIA;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PODEMOS;PODE;403069;5979
10000600133;DEPUTADO ESTADUAL;CORONEL MOURA;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO VERDE;PV;445000;399
10000610664;DEPUTADO ESTADUAL;PASTOR ELISEU MOREIRA;PARDA;CASADO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PROGRESSISTAS;PP;240000;796
10000600210;DEPUTADO ESTADUAL;MISSIONARIA ROSINEI;BRANCA;CASADO(A);FEMININO;SUPERIOR COMPLETO;MS;PARTIDO SOCIAL LIBERAL;PSL;20000;218
10000624635;DEPUTADO FEDERAL;PEREIRA BOMBOM;PARDA;DIVORCIADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;AVANTE;AVANTE;9000;87
10000600002;VICE-GOVERNADOR;JULIO CESAR;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;PB;REDE SUSTENTABILIDADE;REDE;615000;0
10000602515;DEPUTADO FEDERAL;FLAVIANO MELO;BRANCA;DIVORCIADO(A);MASCULINO;SUPERIOR COMPLETO;AC;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;849999,68;18723
10000601031;DEPUTADO ESTADUAL;ISLAYNE ARRUDA;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO TRABALHISTA BRASILEIRO;PTB;0;3
10000602301;DEPUTADO FEDERAL;VANDA;PARDA;DIVORCIADO(A);FEMININO;SUPERIOR COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;15000;0
10000600199;DEPUTADO ESTADUAL;ALEXANDRE DA FARMACIA;PARDA;CASADO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;0;221
10000629100;DEPUTADO ESTADUAL;BRUNA BRITO;BRANCA;CASADO(A);FEMININO;SUPERIOR INCOMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;0;252
10000604767;DEPUTADO ESTADUAL;ZE DO BOI;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AM;PARTIDO SOCIALISTA BRASILEIRO;PSB;37000;93
10000610651;DEPUTADO ESTADUAL;DR. RIBAMAR;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PROGRESSISTAS;PP;200000;903
10000607160;DEPUTADO ESTADUAL;MANOEL IZO;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;DEMOCRACIA CRISTA;DC;23000;240
10000603906;DEPUTADO ESTADUAL;CHICO VIGA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;1864204,75;3382
10000610693;DEPUTADO ESTADUAL;TAMIRES SERAFIM;PARDA;SOLTEIRO(A);FEMININO;SUPERIOR INCOMPLETO;AC;PARTIDO DA MOBILIZACAO NACIONAL;PMN;0;0
10000601165;DEPUTADO FEDERAL;IUNA CHAVES;PARDA;SOLTEIRO(A);FEMININO;SUPERIOR COMPLETO;AC;REDE SUSTENTABILIDADE;REDE;20000;312
10000601028;DEPUTADO ESTADUAL;ENOQUE PEREIRA;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO TRABALHISTA BRASILEIRO;PTB;482370,34;1037
10000610630;DEPUTADO ESTADUAL;SERJAO;PRETA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;0;53
10000601040;DEPUTADO ESTADUAL;ROXA;PARDA;SOLTEIRO(A);FEMININO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO TRABALHISTA BRASILEIRO;PTB;15000;71
10000624639;VICE-GOVERNADOR;THIAGO GONCALVES;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;AVANTE;AVANTE;0;0
10000610640;DEPUTADO ESTADUAL;TOIM ABILIO;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;AC;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;0;332
10000607181;DEPUTADO ESTADUAL;ROGER SANTOS;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;95000;250
10000624306;DEPUTADO ESTADUAL;BLANDINA MENEZES;PARDA;CASADO(A);FEMININO;SUPERIOR COMPLETO;AC;DEMOCRATAS;DEM;903000;1084
10000610639;DEPUTADO ESTADUAL;NEM;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;0;38
10000607187;DEPUTADO ESTADUAL;DEUZIMAR MENDONCA;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;DEMOCRACIA CRISTA;DC;0;0
10000610674;DEPUTADO ESTADUAL;MARIVALDO DA VARZEA;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PROGRESSISTAS;PP;185000;2777
10000600796;DEPUTADO ESTADUAL;MARCELO DA SILVA;PARDA;CASADO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PODEMOS;PODE;130000;207
10000608406;DEPUTADO FEDERAL;JEFFERSON BARROSO;BRANCA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;0;2406
10000610624;DEPUTADO ESTADUAL;JUSCELINO FRANCA;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO SOCIAL DEMOCRATICO;PSD;104000;372
10000601029;DEPUTADO ESTADUAL;FABIANO OLIVEIRA;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO TRABALHISTA BRASILEIRO;PTB;0;1146
10000601018;DEPUTADO ESTADUAL;ISA SANTOS - KOTY;PARDA;SOLTEIRO(A);FEMININO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO SOCIALISMO E LIBERDADE;PSOL;0;21
10000602513;DEPUTADO FEDERAL;TEN. CORONEL EMILIO;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DA MOBILIZACAO NACIONAL;PMN;1231000;5536
10000600242;DEPUTADO ESTADUAL;CHAGAS;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO SOCIAL CRISTAO;PSC;0;68
10000608398;DEPUTADO FEDERAL;SIBA MACHADO;PRETA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;PI;PARTIDO DOS TRABALHADORES;PT;574336,27;9533
10000629895;DEPUTADO ESTADUAL;SARA GALVAO;PARDA;CASADO(A);FEMININO;SUPERIOR COMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;0;121
10000629953;DEPUTADO ESTADUAL;PENINHA MAGALHAES;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;3000000;22
10000602296;DEPUTADO ESTADUAL;TELMA CHAVES;PARDA;SOLTEIRO(A);FEMININO;SUPERIOR COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;180925;1296
10000603908;DEPUTADO ESTADUAL;ZE ROBERTO COOPSERGE;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;120400;2900
10000604765;DEPUTADO ESTADUAL;DENIS RIBEIRO;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR INCOMPLETO;AC;PARTIDO SOCIALISTA BRASILEIRO;PSB;0;49
10000624273;DEPUTADO ESTADUAL;AROLDO MONTEIRO;PARDA;SOLTEIRO(A);MASCULINO;LE E ESCREVE;CE;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;250000;58
10000624304;DEPUTADO ESTADUAL;PROF. CARLOS ALBERTO;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;1115500;1458
10000627573;DEPUTADO ESTADUAL;JONAS COSTA;PRETA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;0;157
10000600785;DEPUTADO ESTADUAL;GENILSON TRUTA;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO REPUBLICANO BRASILEIRO;PRB;30000;83
10000608380;DEPUTADO ESTADUAL;ALBERTO FERNANDES;PRETA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO DOS TRABALHADORES;PT;0;216
10000610685;DEPUTADO ESTADUAL;ASSIS FURTADO;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO POPULAR SOCIALISTA;PPS;73000;65
10000629875;1o SUPLENTE SENADOR;FRANK LIMA;PARDA;SEPARADO(A) JUDICIALMENTE;MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;0;0
10000602844;DEPUTADO ESTADUAL;DR JECSON DUTRA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;SOLIDARIEDADE;SOLIDARIEDADE;150000;1340
10000608404;DEPUTADO FEDERAL;PERPETUA ALMEIDA;BRANCA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO COMUNISTA DO BRASIL;PC DO B;780800;18374
10000624293;DEPUTADO ESTADUAL;CLARINHA LEORNE;BRANCA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;150000;17
10000602287;DEPUTADO FEDERAL;CRISTOVAM MOURA;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;PR;PARTIDO DEMOCRATICO TRABALHISTA;PDT;940000;5587
10000624279;DEPUTADO ESTADUAL;HAMILTON LUCENA - LIDERANCA;PARDA;DIVORCIADO(A);MASCULINO;ENSINO MEDIO INCOMPLETO;AC;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;0;600
10000600233;DEPUTADO ESTADUAL;PROFESSORA HELENA;PRETA;CASADO(A);FEMININO;SUPERIOR COMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;86000;148
10000603896;DEPUTADO ESTADUAL;GLEICE SANTOS;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO DA MULHER BRASILEIRA;PMB;0;40
10000600230;DEPUTADO FEDERAL;RICARDO GOMES;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;PARTIDO SOCIAL LIBERAL;PSL;0;124
10000610661;DEPUTADO ESTADUAL;MANOEL MIRANDA;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PROGRESSISTAS;PP;0;273
10000610689;DEPUTADO ESTADUAL;JOZIAS SILVA;PARDA;SOLTEIRO(A);MASCULINO;LE E ESCREVE;AC;PARTIDO POPULAR SOCIALISTA;PPS;0;486
10000600844;DEPUTADO FEDERAL;GLORIA MELO;BRANCA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO SOCIALISMO E LIBERDADE;PSOL;0;358
10000600005;2o SUPLENTE SENADOR;MAX DA SILVA TEODORO;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;AC;REDE SUSTENTABILIDADE;REDE;215000;0
10000600146;DEPUTADO ESTADUAL;DR. MARCELO PIMENTA;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RN;PARTIDO REPUBLICANO PROGRESSISTA;PRP;755000;754
10000602284;DEPUTADO ESTADUAL;ITAMIR LIMA;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;SP;PARTIDO DEMOCRATICO TRABALHISTA;PDT;121900;2802
10000602297;DEPUTADO ESTADUAL;DENISE DIAS PRETINHA;PARDA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO DEMOCRATICO TRABALHISTA;PDT;66000;131
10000604784;DEPUTADO ESTADUAL;IZAIAS LIMA;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO SOCIALISTA BRASILEIRO;PSB;0;0
10000624275;DEPUTADO ESTADUAL;DR. FABIO SOLER;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;SP;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;56450,2;0
10000624637;DEPUTADO FEDERAL;DANILO MEDEIROS;BRANCA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;AVANTE;AVANTE;85000;186
10000600138;DEPUTADO ESTADUAL;BUIU;PRETA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;AC;PARTIDO REPUBLICANO PROGRESSISTA;PRP;0;909
10000607173;DEPUTADO ESTADUAL;VICTOR MESQUITA;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR INCOMPLETO;AC;DEMOCRACIA CRISTA;DC;0;1
10000607156;DEPUTADO ESTADUAL;DANILVA LIMA;PARDA;SOLTEIRO(A);FEMININO;LE E ESCREVE;AC;DEMOCRACIA CRISTA;DC;0;104
10000602511;DEPUTADO FEDERAL;CHARLENE LIMA;BRANCA;DIVORCIADO(A);FEMININO;SUPERIOR COMPLETO;AC;PARTIDO TRABALHISTA BRASILEIRO;PTB;1500000;4124
10000604792;DEPUTADO ESTADUAL;ZILDA TOMAS;PARDA;SOLTEIRO(A);FEMININO;ENSINO FUNDAMENTAL COMPLETO;AC;PARTIDO SOCIALISTA BRASILEIRO;PSB;120000;126
10000627577;DEPUTADO ESTADUAL;RAUANNI RODRIGUES;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;AC;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;0;19
10000601169;DEPUTADO ESTADUAL;MAIK DA UFAC;BRANCA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;AC;REDE SUSTENTABILIDADE;REDE;0;69
